store_id,first_name,rating,created_at
1,Jared,4.0,12-05-2023 19:33:14
2,Robert,1.0,19-06-2023 04:53:56
4,Julie,2.0,12-01-2023 12:20:03
3,Amanda,4.0,07-06-2023 12:13:03
2,Michelle,5.0,20-04-2023 11:12:01
5,Edward,5.0,12-02-2023 15:38:47
1,Amy,4.0,04-02-2023 19:07:34
4,Brian,2.0,04-03-2023 18:08:35
5,Mark,2.0,01-03-2023 22:06:30
1,Emily,4.0,11-04-2023 19:15:35
1,Dennis,3.0,22-05-2023 12:36:14
5,Jennifer,1.0,30-06-2023 17:03:56
5,Jacob,4.0,21-03-2023 19:38:35
4,Caitlyn,2.0,10-04-2023 20:02:37
4,John,2.0,28-04-2023 05:39:01
5,Michael,1.0,19-04-2023 11:49:33
5,Melissa,2.0,14-02-2023 22:23:48
5,Andrew,1.0,20-05-2023 17:26:29
5,Nathan,4.0,07-02-2023 22:48:30
4,Charles,3.0,24-05-2023 21:15:16
4,Thomas,4.0,07-01-2023 12:21:37
2,Melissa,5.0,22-02-2023 16:40:44
3,Laura,5.0,14-02-2023 13:05:22
5,Tammy,4.0,19-01-2023 18:45:18
2,Joshua,4.0,16-04-2023 00:12:37
3,Karen,3.0,16-02-2023 22:31:31
2,Christopher,1.0,01-05-2023 08:22:06
1,David,2.0,04-03-2023 01:14:06
3,Thomas,2.0,20-02-2023 08:43:42
5,Brenda,5.0,23-05-2023 08:06:28
5,Brittany,2.0,06-01-2023 22:31:55
2,Jeffrey,1.0,17-01-2023 18:42:09
2,John,4.0,29-05-2023 02:47:42
2,Jessica,3.0,27-05-2023 18:16:19
3,Karen,3.0,03-03-2023 22:43:58
1,Brittney,4.0,09-03-2023 03:17:38
5,George,2.0,13-05-2023 14:56:22
2,Kelly,1.0,03-05-2023 08:14:18
2,Michael,5.0,16-06-2023 22:27:59
5,Nicholas,3.0,14-01-2023 22:41:30
4,Donna,1.0,08-06-2023 08:00:04
2,Scott,5.0,01-06-2023 14:24:09
4,Erin,2.0,07-06-2023 07:19:10
3,Mark,5.0,04-05-2023 11:48:41
5,Joshua,5.0,02-05-2023 21:58:14
2,Linda,5.0,03-06-2023 01:34:58
3,Mary,4.0,16-03-2023 15:25:18
1,Michele,2.0,31-05-2023 09:20:33
2,Christina,1.0,27-04-2023 05:09:50
1,Cathy,4.0,14-04-2023 16:10:14
3,Karen,4.0,22-02-2023 19:53:30
5,Timothy,4.0,14-02-2023 12:08:09
4,Emily,2.0,07-04-2023 02:55:02
3,William,5.0,21-01-2023 06:50:59
1,Karen,2.0,02-02-2023 09:09:40
2,Antonio,1.0,08-05-2023 07:03:13
1,Christina,2.0,05-02-2023 15:00:07
4,Joseph,3.0,23-02-2023 05:39:04
5,Aaron,1.0,05-05-2023 12:44:44
4,Raymond,1.0,23-03-2023 08:04:35
1,Sarah,3.0,26-03-2023 12:57:26
1,Sandra,3.0,05-04-2023 00:02:56
4,Michael,1.0,13-01-2023 01:49:50
5,Lisa,5.0,09-04-2023 08:20:21
4,Dylan,4.0,31-03-2023 21:16:35
2,Michelle,2.0,21-01-2023 23:54:17
3,Natasha,5.0,30-05-2023 14:29:25
3,Christopher,4.0,03-06-2023 16:49:18
3,Kevin,5.0,26-02-2023 15:14:23
1,Timothy,1.0,07-05-2023 17:44:42
1,Katherine,1.0,22-02-2023 06:35:58
2,Julie,3.0,16-06-2023 22:27:45
1,Andrew,5.0,07-03-2023 12:54:50
4,Amber,4.0,21-02-2023 21:24:04
1,Stacey,2.0,16-03-2023 09:33:18
1,Michael,2.0,09-03-2023 15:53:46
2,Nicole,4.0,15-03-2023 17:32:39
1,Lisa,4.0,17-03-2023 07:40:27
4,Mark,4.0,11-05-2023 23:53:12
3,Rodney,1.0,27-05-2023 15:26:24
3,Jeanne,1.0,08-04-2023 05:15:36
3,Travis,5.0,09-06-2023 12:33:35
1,Anthony,2.0,30-04-2023 17:43:13
1,Michael,5.0,10-02-2023 00:19:23
4,Alexander,5.0,26-01-2023 07:26:55
1,Brittney,5.0,03-03-2023 19:48:47
3,Travis,1.0,14-04-2023 21:08:10
5,Jeremiah,3.0,05-02-2023 12:20:03
4,Carol,4.0,23-01-2023 00:09:35
4,Elizabeth,3.0,23-04-2023 04:17:20
1,Mary,5.0,03-04-2023 11:39:18
1,Samantha,1.0,13-01-2023 19:41:06
1,Mary,4.0,27-06-2023 22:21:59
1,Anthony,5.0,22-01-2023 09:53:24
1,Jennifer,4.0,04-04-2023 20:24:57
2,Joshua,4.0,10-04-2023 12:35:55
5,Julia,5.0,13-02-2023 10:02:06
5,Karen,2.0,21-05-2023 10:04:02
4,Michelle,1.0,20-02-2023 01:17:34
2,Edward,4.0,20-06-2023 10:47:11
5,Katelyn,1.0,27-02-2023 19:51:00
3,John,4.0,28-01-2023 22:28:12
2,Sophia,5.0,03-06-2023 02:02:54
4,James,4.0,02-02-2023 09:43:58
5,Dale,1.0,08-04-2023 21:04:00
1,Tammy,3.0,04-02-2023 06:56:54
5,Ashley,3.0,06-01-2023 11:09:43
3,Bradley,5.0,10-01-2023 19:25:55
3,Kelly,4.0,22-04-2023 12:03:56
2,Ryan,1.0,07-04-2023 13:42:09
3,Mary,1.0,26-02-2023 05:57:18
4,Melissa,3.0,30-05-2023 22:47:22
3,Drew,2.0,16-01-2023 12:08:50
5,Jennifer,2.0,23-03-2023 01:56:18
4,Nicholas,4.0,27-01-2023 20:35:50
2,Erica,4.0,15-05-2023 21:53:13
1,Samantha,4.0,27-01-2023 00:01:48
3,Rachel,2.0,18-02-2023 17:53:32
5,Anna,1.0,09-02-2023 21:16:33
4,Shane,2.0,03-01-2023 14:41:04
5,Diana,2.0,29-03-2023 03:00:19
1,Michael,3.0,24-05-2023 02:34:34
1,Benjamin,2.0,20-03-2023 10:59:29
5,Alexandria,1.0,25-04-2023 04:22:11
5,Joseph,3.0,06-03-2023 10:31:30
1,Dawn,2.0,31-01-2023 07:04:01
1,Kelly,2.0,16-06-2023 12:18:21
2,Christopher,4.0,06-03-2023 23:04:34
4,Raymond,5.0,27-04-2023 09:55:40
4,Stephen,4.0,08-01-2023 06:53:10
3,Bonnie,2.0,17-03-2023 00:33:47
1,Michael,4.0,06-03-2023 08:14:20
3,Dennis,4.0,02-03-2023 17:49:23
5,Vickie,3.0,27-05-2023 09:06:09
2,Melissa,4.0,19-05-2023 02:53:09
5,Cindy,3.0,07-02-2023 15:45:58
2,Alicia,3.0,10-04-2023 01:56:37
5,Allison,5.0,02-05-2023 01:10:02
3,Candace,4.0,30-05-2023 06:33:12
5,Richard,4.0,01-01-2023 10:13:23
4,David,5.0,11-03-2023 02:01:59
4,Michael,4.0,23-03-2023 18:28:35
3,Jenna,3.0,09-02-2023 22:16:23
1,Angela,5.0,17-05-2023 21:58:53
5,Blake,3.0,30-03-2023 05:04:08
5,Tonya,2.0,08-05-2023 01:26:36
5,Amanda,5.0,14-01-2023 16:59:12
1,Andrea,5.0,10-05-2023 07:00:20
1,Kayla,4.0,16-04-2023 14:49:43
2,Heather,5.0,07-05-2023 03:10:25
1,Jacob,3.0,17-05-2023 12:04:48
2,Kenneth,5.0,26-03-2023 00:03:06
1,Matthew,3.0,30-06-2023 12:31:51
4,Daniel,2.0,12-01-2023 03:16:52
1,Stephanie,3.0,03-04-2023 14:34:53
4,Janet,2.0,19-01-2023 04:12:50
4,Jennifer,2.0,21-01-2023 07:27:18
4,Mary,1.0,02-05-2023 01:38:30
1,Lori,2.0,15-04-2023 14:04:14
4,Amy,4.0,30-04-2023 10:37:47
2,Melissa,1.0,24-04-2023 00:14:07
2,John,3.0,23-01-2023 21:05:02
4,Anthony,4.0,22-01-2023 04:15:15
3,Mariah,3.0,19-04-2023 01:46:18
1,Eric,1.0,22-06-2023 16:54:28
2,Kelsey,1.0,06-02-2023 08:12:32
4,Craig,4.0,18-01-2023 11:22:45
4,Mark,5.0,18-05-2023 10:02:38
2,Joann,1.0,09-03-2023 13:54:22
